question,answer
Comment blacklister un msisdn?,"Allez au feature blacklist, insérez le numéro et vous verrez le msisdn à blacklister."
Comment consulter l'historique du blacklist?,"Rendez-vous dans l'onglet historique pour voir les actions effectuées, les utilisateurs concernés et les dates."
Comment s'authentifier?,"Insérer votre email et mot de passe. En cas de problème, contactez l'administrateur."
"J'ai oubli� mon mot de passe, que faire?",Contactez l'administrateur pour r�initialiser votre mot de passe.
Comment ajouter des permissions � un utilisateur?,"Creez une liste de permissions, affectez-la � un role, puis attribuez ce role � l'utilisateur."
Comment cr�er un role?,"Allez dans la section roles, cliquez sur ajouter, donnez-lui un nom et affectez-lui une ou plusieurs listes de permissions."
Comment créer une liste de permissions?,"Accédez à l’interface des listes de permissions, sélectionnez les permissions nécessaires et sauvegardez."
Comment désactiver un utilisateur?,"Dans la section utilisateurs, sélectionnez l'utilisateur, puis cliquez sur désactiver."
Comment activer un utilisateur?,"Dans la section utilisateurs, filtrez par statut inactif, puis cliquez sur activer."
Comment consulter la liste des utilisateurs?,Cliquez sur 'Utilisateurs' dans le menu latéral pour afficher la liste complète.
Comment ajouter un nouvel utilisateur?,"Cliquez sur ajouter un utilisateur, remplissez les champs requis et sauvegardez."
Qu’est-ce qu’un rôle dans DIM2?,"Un rôle regroupe des permissions via une ou plusieurs listes, et il est affecté à un ou plusieurs utilisateurs."
Qu’est-ce qu’une permission?,"Une permission définit une action possible sur une fonctionnalité spécifique, comme 'users.read' ou 'roles.create'."
Puis-je créer une permission manuellement?,"Non, les permissions sont générées automatiquement à partir des endpoints exposés."
Que contient l’historique d’un utilisateur?,Il contient les actions réalisées sur le système avec les dates et les types d'opérations.
À quoi sert la fonctionnalité 'dashboard'?,"Elle permet de visualiser les statistiques globales comme le nombre de blacklist, d’utilisateurs, etc."
Comment contacter l’administrateur?,Utilisez le lien 'Contact Admin' en haut à droite ou envoyez un mail via votre messagerie d'entreprise.
Que faire en cas d’erreur 403?,Cela signifie que vous n’avez pas la permission. Contactez l’administrateur pour qu’il vous l’accorde.
Quelles sont les permissions nécessaires pour créer un rôle?,Vous devez avoir 'roles.create' et 'permissionlists.read'.
Comment modifier les informations d’un utilisateur?,Cliquez sur modifier dans la liste des utilisateurs et mettez à jour les champs souhaités.
